,Latitude,Longitude,Number,Street,City,State,County,Zip,url
116,34.12862,-118.26141,437,Fernando Ct,Glendale,CA,Los Angeles County,91204,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13318
119,34.136364,-118.258671,320,W Windsor Rd,Glendale,CA,Los Angeles County,91204,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13321
117,34.15165,-118.247355,,E Lexington Dr,Glendale,CA,Los Angeles County,91206,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13319
267,39.239586,-121.033394,1262,Sutton Way,Grass Valley,CA,Nevada County,95945,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15355
125,34.010603,-117.979765,1345,Turnbull Canyon Rd,Hacienda Heights,CA,Los Angeles County,91745,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11245
361,36.324976,-119.656962,805,W 7th St,Hanford,CA,Kings County,93230,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15905
362,36.324976,-119.657164,807,W 7th St,Hanford,CA,Kings County,93230,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15906
47,37.681266,-122.093415,21455,Birch St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14592
48,37.681266,-122.093415,21455,Birch St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7445
49,37.666195,-122.10372,258,W A St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14595
50,37.669961,-122.090077,570,B St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14591
52,37.675086,-122.079975,1180,B St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7433
53,37.675396,-122.077003,22671,3rd St,Hayward,CA,Alameda County,94541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15007
55,37.651789,-122.090944,249,W Jackson St,Hayward,CA,Alameda County,94544,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7634
278,33.743321,-116.979744,340,S Palm Ave,Hemet,CA,Riverside County,92543,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20322
277,33.758922,-116.970894,200,E Menlo Ave,Hemet,CA,Riverside County,92543,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14878
227,34.128748,-117.230221,2626,Pacific St,Highland,CA,San Bernardino County,92346,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15705
315,36.846137,-121.404347,910,Monterey St,Hollister,CA,San Benito County,95023,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15231
316,36.873493,-121.400166,1161,San Felipe Rd,Hollister,CA,San Benito County,95023,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11908
171,33.717927,-117.999593,7372,Prince Dr,Huntington Beach,CA,Orange County,92647,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15345
205,33.688933,-117.98815,18822,Beach Blvd,Huntington Beach,CA,Orange County,92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14331
206,33.660677,-117.999193,419,Main St,Huntington Beach,CA,Orange County,92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15289
207,33.659371,-118.000497,412,Olive Ave,Huntington Beach,CA,Orange County,92648,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15278
121,33.981338,-118.216662,2965,E Gage Ave,Huntington Park,CA,Los Angeles County,90255,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11228
326,33.71083,-116.205087,83791,Date Ave,Indio,CA,Riverside County,92201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10601
327,33.704501,-116.198145,47470,Van Buren St,Indio,CA,Riverside County,92201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14707
182,33.696861,-117.764945,5540,Trabuco Rd,Irvine,CA,Orange County,92620,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13774
306,34.411353,-119.856612,976,Embarcadero Del Mar,Goleta,CA,Santa Barbara County,93117,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20472
217,38.352965,-120.834147,10590,State Rte 88,Jackson,CA,Amador County,95642,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8022
214,33.556419,-117.629792,999,Corporate Dr,Ladera Ranch,CA,Orange County,92694,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15263
210,33.573152,-117.762544,20612,Laguna Cyn,Laguna Beach,CA,Orange County,92651,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20388
287,33.627741,-117.328879,18569,Grand Ave,Lake Elsinore,CA,Riverside County,92530,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20323
183,32.845752,-116.908139,13221,Idyl Dr,Lakeside,CA,San Diego County,92040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14230
366,34.698106,-118.144759,44933,Fern Ave,Lancaster,CA,Los Angeles County,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11218
367,34.703074,-118.154116,1321,W Ivesbrook St,Lancaster,CA,Los Angeles County,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15501
368,34.702937,-118.137311,45134,Sierra Hwy,Lancaster,CA,Los Angeles County,93534,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11242
369,34.6724,-118.127542,43434,E Sahuayo St,Lancaster,CA,Los Angeles County,93535,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15854
